; Sample Rate 44100
; Channels 2
0.0025170068000 0.9999694800004 0.2692871100000
0.0025396825000 0.9999694800000 0.3320312500000
0.0025623583000 0.9999694800000 0.3306274400000
0.0025850340000 0.7496948199999 0.2961120600000
0.0026077098000 0.4779357900000 0.3048400900000
0.0026303855000 0.2186889600000 0.3530578600001
0.0026530612000 -0.0031433105000 0.4142150900001
0.0026757370000 -0.1713561999999 0.4895019500000
0.0026984127000 -0.2771606400000 0.5241088900001
0.0027210884000 -0.3360290500002 0.5010986300003
0.0027437642000 -0.3745117200002 0.4474487300003
0.0027664399000 -0.4148254400002 0.3407592800001
0.0027891156000 -0.4797668500002 0.1999206500001
0.0028117914000 -0.5769043000003 0.0569152830000
0.0028344671000 -0.6956176800003 -0.1135559100001
0.0028571429000 -0.8217773400002 -0.2951355000002
